"MostUsed" "SentCount" "SentLen" "WordCount" "WordLen" "," "." ":" "CC" "CD" "DT" "EX" "IN" "JJ" "JJS" "MD" "NN" "NNP" "NNS" "POS" "PRP" "PRP$" "RB" "RP" "TO" "UH" "VB" "VBD" "VBG" "VBN" "VBP" "VBZ" "WDT" "WP" "WRB" "Adjectives" "''" "JJR" "PDT" "RBR" "RBS" "-LRB-" "-RRB-" "``" "FW" "NNPS" "WP$" "#"
"120" "laugh" 59 63.3728813559322 903 3.42414174972315 45 61 4 28 4 59 2 83 37 0 10 100 8 21 2 111 28 84 8 24 1 49 67 13 8 18 12 0 4 5 38 3 1 1 1 0 0 0 1 0 0 0 0
"121" "laugh" 70 54.8285714285714 871 3.6796785304248 23 70 0 27 10 64 2 72 26 1 13 80 8 30 1 101 23 64 7 29 0 44 85 36 12 8 13 1 2 8 30 3 3 2 2 0 0 0 0 1 0 0 0
"122" "laugh" 17 89.5882352941177 325 3.89846153846154 12 18 0 6 3 20 0 35 22 1 8 34 2 7 0 44 3 16 4 8 0 15 21 10 5 8 11 0 4 4 25 1 2 0 0 0 0 0 0 0 0 1 0
"123" "bodi" 3 117.333333333333 71 4.12676056338028 1 3 0 3 1 10 0 6 4 0 0 9 4 2 0 4 0 6 0 1 0 3 0 0 1 3 7 0 0 2 4 0 0 0 1 0 0 0 0 0 0 0 0
"124" "father" 43 75.3023255813954 683 3.97364568081991 20 45 0 22 6 74 2 62 30 0 10 103 8 21 1 65 10 30 5 19 0 25 59 24 13 7 6 2 2 4 31 2 1 2 0 0 0 1 2 0 0 0 0
"125" "dont" 6 443 530 4.08301886792453 9 7 0 28 0 45 0 51 53 1 7 76 5 18 1 31 9 38 5 16 0 36 6 11 4 25 25 4 6 8 56 1 2 0 0 0 0 0 1 1 0 0 0
"126" "make" 32 111.84375 765 3.83137254901961 15 32 0 44 8 80 0 74 61 5 14 112 6 25 0 60 19 25 1 28 0 38 43 21 10 10 17 5 4 5 68 0 2 0 0 1 0 0 0 0 0 0 0
"127" "laugh" 36 85.75 660 3.85757575757576 5 36 0 28 7 62 2 72 36 4 6 94 5 15 0 72 21 38 4 12 0 17 62 11 8 13 9 2 5 6 42 1 2 1 3 0 0 0 1 0 0 0 0
"128" "make" 26 130.461538461538 748 3.69385026737968 14 27 1 26 4 49 0 83 44 2 9 59 3 12 1 117 10 59 2 19 0 48 58 23 10 19 17 3 6 9 48 7 2 0 0 0 0 0 5 0 0 0 0
"129" "laugh" 24 139.666666666667 718 3.85793871866295 52 24 0 33 11 66 0 76 32 4 6 111 11 22 5 51 26 41 2 15 0 22 40 26 10 10 10 3 3 4 37 0 1 0 1 0 0 0 0 0 0 0 0
"130" "car" 31 137.903225806452 860 4.11860465116279 15 40 0 11 13 69 2 139 36 0 7 93 16 23 3 93 13 52 15 24 1 35 69 31 5 18 13 2 8 4 38 7 2 0 0 0 0 0 1 0 0 0 0
"131" "track" 54 71.3703703703704 833 3.83793517406963 10 54 0 31 8 80 5 94 54 1 9 103 12 33 3 66 15 56 8 24 0 39 52 29 8 14 10 0 2 4 57 1 2 0 3 2 0 0 1 0 0 0 0
"132" "laugh" 29 82.8275862068966 520 3.81538461538462 13 29 0 16 3 44 0 61 24 3 8 61 8 14 0 49 17 30 3 20 0 33 35 22 4 6 8 1 2 6 27 0 0 0 0 0 0 0 0 0 0 0 0
"133" "team" 36 100.388888888889 744 4.03763440860215 24 37 0 35 7 103 1 90 46 1 8 100 15 35 0 45 7 36 3 16 0 20 55 21 15 2 10 2 2 3 49 0 2 1 2 0 0 0 0 0 0 0 0
"134" "birthday" 15 110.2 365 3.67945205479452 7 14 0 15 2 36 1 44 11 2 10 47 0 15 0 37 13 24 5 7 0 25 22 8 5 4 2 2 3 2 13 0 0 1 0 0 0 0 0 1 0 0 0
"135" "laugh" 4 608 522 3.73371647509579 10 9 0 33 2 39 1 51 22 2 0 53 4 17 0 77 6 40 3 18 0 23 78 12 6 3 0 1 2 7 25 0 1 2 0 0 0 0 0 0 0 0 0
"136" "laughter" 42 90.6666666666667 768 4.14973958333333 11 42 1 26 5 84 1 95 38 2 9 130 12 33 6 47 20 25 2 23 0 26 54 13 14 11 15 8 8 3 41 0 1 0 0 3 0 0 0 0 0 0 0
"137" "laugh" 28 99.3928571428571 609 3.78981937602627 47 31 1 11 10 45 0 72 28 2 5 73 14 21 0 59 11 37 6 14 1 16 41 19 5 16 10 1 1 6 30 1 0 1 0 1 0 0 1 1 1 0 0
"138" "feel" 20 136.05 584 3.84246575342466 34 21 0 31 7 43 0 57 35 2 12 57 8 20 2 64 8 38 4 13 0 31 31 10 5 18 13 1 3 9 39 1 2 0 2 2 0 0 0 0 0 0 0
"139" "laugh" 24 86.5416666666667 462 3.70562770562771 12 25 1 15 3 35 0 45 22 0 9 59 8 12 0 42 18 27 4 11 0 30 21 13 4 14 9 2 4 6 26 2 4 1 1 0 0 0 3 0 0 0 0
"140" "pinata" 43 87.6511627906977 840 3.71309523809524 37 43 0 14 4 59 2 84 26 5 16 77 5 28 4 102 12 68 12 25 0 49 61 30 13 19 14 0 9 18 32 0 1 1 0 2 0 0 0 0 0 0 0
"141" "laughter" 33 83.7878787878788 573 4.0261780104712 9 32 1 18 9 42 1 68 26 3 12 61 10 29 1 58 10 39 5 11 0 28 34 14 9 9 13 4 0 8 32 1 3 1 3 0 0 0 1 0 0 0 0
"142" "friend" 18 55.1111111111111 221 3.81447963800905 11 18 0 6 1 8 0 20 13 0 1 24 6 6 1 28 5 18 0 6 0 5 21 5 0 8 4 0 0 1 14 3 1 0 0 0 0 0 1 0 0 0 0
"143" "laugh" 22 55.5 276 3.69565217391304 6 22 0 12 2 29 0 20 8 3 4 47 4 6 3 17 4 7 1 5 0 20 0 12 2 9 25 1 2 4 11 0 0 0 0 0 0 0 0 0 1 0 0
"144" "play" 45 102.377777777778 948 4.05696202531646 22 45 3 28 5 71 2 100 57 0 13 123 9 34 5 75 26 68 2 33 0 51 69 25 24 16 7 0 5 5 63 4 6 2 6 0 0 0 6 1 0 0 0
"145" "laugh" 47 83.6170212765958 853 3.82883939038687 26 48 1 24 1 51 0 79 35 7 16 69 14 22 1 122 21 65 6 22 1 58 70 22 10 23 13 2 10 4 44 2 2 2 2 1 0 0 1 0 0 0 0
"146" "laugh" 29 113.551724137931 689 3.97532656023222 22 29 9 24 8 47 4 64 35 4 23 59 11 28 0 63 9 63 5 18 0 46 28 28 8 19 13 3 1 10 39 0 0 0 6 1 0 0 1 0 0 0 0
"147" "wrap" 55 67.0363636363636 799 3.87108886107635 15 63 0 27 11 84 1 96 34 0 5 96 19 36 2 70 12 41 12 10 2 28 15 22 8 35 28 2 3 3 36 11 2 0 1 0 0 0 5 0 0 0 0
"148" "laughter" 34 102.352941176471 770 3.72857142857143 54 34 4 34 7 53 1 77 35 0 9 91 1 27 0 78 13 52 3 23 0 36 40 14 7 29 17 6 3 10 37 0 2 0 7 0 0 0 0 3 0 0 0
"149" "bike" 26 130.346153846154 681 4.09104258443466 4 27 0 31 18 54 2 78 36 0 17 114 12 34 0 42 27 39 5 14 0 26 50 22 8 7 4 0 2 6 36 0 0 1 0 0 0 0 0 1 0 0 0
"150" "talk" 46 85.4782608695652 895 3.59441340782123 13 51 0 40 5 58 1 69 47 5 14 81 6 19 1 138 18 69 3 28 3 42 104 15 7 7 11 2 9 9 54 3 2 2 4 0 4 4 0 1 0 0 0
"151" "trust" 26 79.0769230769231 452 3.76327433628319 6 26 0 11 3 43 1 53 28 2 5 49 2 16 1 48 8 29 3 12 0 20 11 9 11 27 11 1 5 7 32 0 2 0 2 0 0 0 0 0 0 0 0
"152" "dog" 48 84.1666666666667 825 4.11515151515152 17 51 0 8 12 73 0 103 17 0 13 105 9 20 0 99 17 36 4 26 0 42 94 26 13 10 5 1 6 3 19 8 2 0 1 0 0 0 4 0 0 0 0
"153" "stop" 28 67 435 3.54942528735632 16 28 0 6 3 51 1 61 18 0 5 52 2 10 0 49 7 26 3 12 0 12 47 8 9 4 0 0 1 3 18 0 0 0 1 0 0 0 0 0 0 0 0
"154" "set" 44 92.2954545454545 931 3.54564983888292 25 44 0 44 13 79 0 86 50 4 11 103 7 24 0 125 10 48 5 25 0 54 94 17 19 18 9 1 7 2 55 2 1 1 0 1 0 0 2 0 0 0 0
"155" "fight" 22 88.8181818181818 404 4.0470297029703 13 22 0 12 1 36 0 44 15 2 5 51 4 2 0 46 9 30 3 13 0 15 46 9 7 5 3 1 6 2 18 1 1 0 0 0 0 0 0 0 0 0 0
"156" "truck" 36 69.8055555555556 541 3.91866913123845 24 39 1 18 11 42 1 50 36 3 7 68 13 18 0 41 21 26 4 10 0 20 39 15 5 9 8 0 0 1 41 3 2 0 1 0 0 0 5 0 0 0 0
"157" "time" 22 121.227272727273 571 3.82136602451839 16 23 2 26 4 46 1 66 37 4 6 67 4 19 0 53 14 40 3 17 0 25 40 8 7 12 11 5 2 6 43 1 2 0 1 1 0 0 2 0 0 0 0
"158" "friend" 45 84.4888888888889 814 3.91891891891892 50 47 1 22 8 58 0 71 40 2 10 75 23 27 0 90 19 71 3 28 0 37 64 15 8 21 8 2 2 8 42 1 0 1 1 1 0 0 0 0 0 0 0
"159" "ask" 62 75.6451612903226 1011 3.92185954500495 36 69 0 18 14 83 1 112 60 1 14 108 17 24 5 105 13 59 10 22 3 41 76 32 16 24 8 3 0 5 63 24 2 0 1 0 0 0 5 0 0 0 0
"160" "laugh" 33 123.545454545455 873 3.82932416953036 24 34 0 41 3 64 0 98 45 4 16 80 9 41 2 100 12 56 3 30 1 60 43 29 11 28 13 2 1 7 52 4 3 2 6 0 0 0 1 0 0 0 0
"161" "laugh" 39 63.2051282051282 550 3.73272727272727 12 43 0 11 2 44 3 63 32 0 10 70 2 24 0 41 23 39 2 16 1 33 30 11 5 7 14 2 2 2 32 2 0 0 0 0 0 2 0 2 0 0 0
"162" "laughter" 7 278.285714285714 404 3.88118811881188 3 6 0 24 1 46 1 57 9 2 5 74 1 25 0 28 4 22 0 13 0 25 4 3 2 27 12 2 0 6 11 0 0 0 1 0 0 0 0 1 0 0 0
"163" "laugh" 19 62.2631578947368 264 3.73484848484848 6 19 1 4 1 16 0 25 9 1 7 35 5 8 0 30 5 18 0 9 0 17 7 4 2 8 14 0 6 2 12 3 2 0 0 0 0 0 0 0 0 0 0
"164" "brother" 17 159.411764705882 588 3.73639455782313 22 18 0 37 13 45 0 62 26 3 2 113 5 16 0 53 35 31 0 12 0 19 29 10 6 10 15 1 0 4 29 0 0 0 1 0 0 0 0 0 0 0 0
"165" "friend" 46 99.1739130434783 956 3.98221757322176 45 46 2 29 9 78 4 107 34 6 10 127 10 40 2 92 32 51 5 30 2 39 83 25 19 6 6 3 1 4 42 4 2 2 0 1 0 0 0 0 0 0 0
"166" "thing" 14 100.5 330 3.48484848484848 24 15 0 13 1 21 1 27 16 2 5 31 1 11 2 38 5 22 4 13 0 17 18 8 3 16 4 2 4 3 19 2 1 0 0 0 0 0 0 0 0 0 0
"167" "peopl" 26 120.5 656 3.96341463414634 25 30 6 28 3 61 1 64 51 2 19 72 7 53 1 37 5 40 2 21 0 44 10 8 2 21 21 6 0 7 56 3 3 1 0 0 0 0 2 0 0 0 0
"168" "laugh" 12 106.25 253 4.20948616600791 5 12 1 10 2 15 0 29 19 1 4 29 6 8 0 23 10 14 1 6 0 14 4 14 3 9 10 0 0 1 20 0 0 0 3 0 0 0 0 0 0 0 0
"169" "grandpa" 24 86.625 459 3.70588235294118 8 24 0 21 2 40 1 54 23 0 2 52 2 14 0 46 14 33 6 19 0 18 49 16 6 1 1 0 1 5 23 0 0 0 1 0 0 0 0 0 0 0 0
"170" "ski" 48 79.0833333333333 851 3.7144535840188 59 49 0 18 7 71 0 92 41 2 13 115 6 34 0 61 41 44 7 27 1 37 56 28 13 7 9 1 1 0 44 5 1 0 1 2 0 0 2 0 0 0 0
"171" "laughter" 35 124.828571428571 934 3.84903640256959 49 35 2 32 7 91 2 101 51 9 12 110 12 29 0 87 10 45 7 30 0 38 60 23 24 22 19 2 12 9 60 0 0 0 2 1 0 0 1 0 0 0 0
"172" "laughter" 27 66.7037037037037 389 3.87660668380463 8 27 0 13 1 29 3 38 22 0 4 51 4 11 0 38 17 28 0 15 0 10 35 7 6 4 11 1 0 6 22 0 0 0 0 0 0 0 0 0 0 0 0
"173" "sister" 9 116.111111111111 218 3.95412844036697 2 10 1 8 2 14 1 23 7 1 0 30 3 4 0 23 8 14 4 8 0 7 27 8 5 1 0 0 1 3 10 0 2 0 0 0 1 0 0 0 0 0 0
"174" "famili" 49 94 948 4.06223628691983 44 51 0 5 11 75 0 112 69 4 18 125 16 36 1 73 45 65 6 20 1 37 66 18 9 7 14 1 2 12 74 1 1 1 0 2 0 0 0 0 0 0 0
"175" "lunch" 63 65.0793650793651 969 3.51393188854489 51 72 2 28 10 76 0 97 52 3 18 108 5 26 3 117 11 72 7 2 3 46 81 11 7 22 7 1 9 4 57 7 2 0 2 0 0 0 3 4 0 0 0
"176" "laughter" 33 100.515151515152 710 3.89154929577465 48 33 0 24 6 55 0 80 40 3 13 99 5 24 2 55 33 38 3 15 0 25 14 12 14 26 28 7 2 5 43 0 0 0 0 1 0 0 0 0 0 0 0
"177" "relationship" 17 157.647058823529 537 4.13035381750466 16 18 0 21 6 52 1 68 19 0 9 87 2 18 0 53 12 37 0 9 0 22 31 4 9 18 13 3 2 5 20 0 1 0 0 1 0 0 0 0 0 0 0
"178" "friend" 37 96.945945945946 771 3.83268482490272 15 37 0 40 8 38 2 74 34 4 23 83 9 32 1 104 23 56 5 18 0 44 65 18 5 8 9 1 2 7 39 0 1 1 2 1 0 0 0 1 0 0 0
"179" "cloth" 35 97.3142857142857 728 3.89285714285714 33 37 0 41 4 67 0 62 45 1 12 60 8 26 0 79 4 40 3 25 0 45 79 17 10 4 2 3 2 8 48 8 2 0 0 0 0 0 1 0 0 0 0
"180" "laugh" 52 63.8076923076923 795 3.39874213836478 13 53 0 20 9 76 0 66 37 2 10 95 6 21 0 102 28 42 12 26 2 48 47 15 7 27 18 1 3 4 42 0 3 0 2 0 0 0 0 0 0 0 0
"181" "laugh" 18 93.3888888888889 368 3.74184782608696 2 18 2 21 3 28 4 26 13 1 4 42 3 9 0 37 15 27 2 16 0 24 18 11 0 7 19 1 5 3 16 0 2 4 1 0 0 0 0 0 0 0 0
"182" "dad" 20 112.05 473 3.89006342494715 8 22 0 31 3 32 0 42 17 0 2 56 4 19 0 48 28 38 2 12 0 15 57 23 3 4 0 0 1 1 21 0 4 1 0 0 0 0 0 0 0 0 0
"183" "laugh" 43 56.6976744186046 562 3.60320284697509 13 43 1 22 6 40 0 47 21 1 8 75 4 15 0 62 25 31 4 15 0 26 54 11 12 10 7 1 2 5 22 0 0 0 1 0 0 0 0 0 0 0 0
"184" "laugh" 89 53.2022471910112 1026 3.96101364522417 25 102 0 3 25 82 0 104 36 4 8 119 22 24 3 124 11 57 3 13 2 28 113 33 5 18 15 4 1 4 42 26 2 1 1 0 0 0 6 0 2 0 0
"185" "bus" 67 53.6716417910448 802 3.75561097256858 8 71 0 27 8 70 1 91 24 1 6 109 15 23 2 97 15 29 5 31 2 29 82 13 8 13 6 0 3 7 27 1 2 0 0 0 0 1 2 0 0 0 0
"186" "walk" 2 1095 494 3.44534412955466 0 1 0 41 4 42 0 59 13 0 1 51 4 11 0 70 11 45 6 20 0 26 42 12 11 12 9 0 0 3 13 0 0 0 0 0 0 0 0 0 0 0 0
"187" "class" 41 93.8292682926829 814 3.94594594594595 30 42 9 17 9 72 3 77 40 3 13 103 6 45 1 79 18 55 2 27 0 39 49 20 7 19 16 0 4 4 44 0 1 1 3 0 0 0 0 0 0 0 0
"188" "laughter" 54 79.0555555555556 900 4.00666666666667 50 66 0 31 12 77 3 88 41 2 16 102 18 21 3 85 10 55 5 23 1 47 67 20 7 21 5 1 4 4 45 6 2 0 1 0 1 1 4 0 0 0 0
"189" "told" 70 58.1428571428571 949 3.54478398314015 14 72 0 28 9 50 1 103 42 0 7 106 10 26 0 143 35 61 8 26 2 36 113 17 8 9 7 1 1 8 43 2 1 0 1 0 0 0 2 0 0 0 0
"190" "make" 45 85.1111111111111 836 3.80741626794258 44 45 0 48 2 49 4 69 51 7 24 107 7 31 0 78 11 51 3 23 0 73 12 16 2 27 35 1 0 5 63 1 5 0 4 0 0 0 1 0 0 0 0
"191" "back" 34 83.1470588235294 620 3.79838709677419 30 36 1 20 4 53 0 58 26 5 4 62 26 11 7 62 12 34 8 21 3 21 64 14 10 4 3 1 1 11 32 2 1 2 0 0 0 0 2 1 0 0 0
"192" "fun" 25 49.08 291 3.47079037800687 2 20 0 6 0 21 1 35 21 0 13 45 0 13 0 32 3 11 3 12 0 25 1 5 0 9 11 0 0 0 21 0 0 0 0 0 0 0 0 2 0 0 0
"193" "laugh" 35 123.142857142857 913 3.86966046002191 24 35 0 37 10 72 0 107 56 5 18 109 4 35 1 98 17 64 8 17 1 41 48 23 7 23 22 2 4 13 64 0 3 2 2 1 2 2 0 0 0 0 0
"194" "laugh" 32 71.15625 499 3.80160320641283 16 33 0 21 5 28 1 55 32 2 13 60 1 14 0 49 8 37 7 13 0 34 4 17 7 14 16 1 0 0 36 1 2 0 6 1 0 0 1 0 0 0 0
"195" "tabl" 41 105 913 3.91456736035049 45 41 1 24 9 86 1 113 39 1 6 102 9 38 2 80 22 52 7 32 0 35 79 31 20 8 10 3 7 6 43 0 3 0 1 0 0 0 0 0 0 0 0
"196" "girl" 31 89.0967741935484 585 3.95384615384615 20 35 0 23 8 59 1 59 32 0 11 73 4 15 1 55 9 21 4 11 0 29 51 22 3 9 4 3 3 5 33 12 1 0 0 0 0 0 1 1 0 0 0
"197" "laugh" 51 82.1764705882353 884 3.96606334841629 30 51 1 34 8 77 2 109 47 1 11 103 24 41 1 80 16 43 5 12 0 27 56 26 19 21 14 7 2 10 49 1 1 1 1 1 0 0 1 0 0 0 0
"198" "move" 35 128 916 4.04148471615721 27 35 1 46 8 82 2 90 56 2 14 108 7 37 1 84 30 62 3 29 0 35 102 20 16 0 1 6 1 4 63 0 5 1 0 1 0 0 0 0 0 0 0
"199" "day" 36 100.083333333333 772 3.86528497409326 40 37 0 31 8 52 0 73 40 2 18 88 7 26 0 71 24 55 5 21 0 40 45 23 12 16 14 0 2 8 46 1 4 2 6 0 0 0 1 0 0 0 0
"200" "laugh" 41 103.317073170732 934 3.71734475374732 17 46 0 34 6 62 1 101 30 2 9 88 5 30 2 114 29 75 13 29 4 41 113 21 12 14 1 2 3 10 32 10 0 1 0 0 0 0 7 1 0 0 1
"201" "activ" 7 127.714285714286 187 3.9144385026738 3 7 0 5 1 16 0 12 9 0 2 20 2 14 0 26 2 15 1 9 0 9 24 5 1 0 1 1 0 2 9 0 0 0 0 0 0 0 0 0 0 0 0
"202" "laugh" 26 133.5 751 3.762982689747 21 26 0 26 3 59 1 101 32 2 14 82 5 12 0 85 21 53 4 20 0 38 67 30 8 7 9 2 6 12 34 0 0 2 0 2 0 0 1 0 0 0 0
"203" "brother" 3 765.333333333333 512 3.560546875 4 3 0 18 8 46 1 45 26 1 10 81 1 11 14 42 32 31 6 12 1 32 28 7 13 16 7 3 1 8 30 0 3 0 0 1 0 0 0 0 0 0 0
"204" "laugh" 46 82.4130434782609 843 3.69513641755635 14 47 3 41 1 64 2 76 37 1 20 95 3 22 1 113 33 52 5 6 0 35 64 35 10 15 15 5 3 12 45 1 7 0 4 1 0 0 0 0 0 0 0
"205" "water" 37 99.4054054054054 777 3.95495495495495 53 37 2 38 9 81 0 87 54 1 4 100 3 38 1 55 19 35 5 20 0 22 69 15 16 2 0 2 1 2 55 2 0 0 1 1 0 0 2 0 0 0 0
"206" "love" 28 59.9285714285714 376 3.73670212765957 16 28 1 2 2 24 1 43 15 3 7 48 6 7 0 47 13 24 1 7 0 16 24 5 3 12 11 2 1 3 18 1 0 1 0 0 0 1 0 1 0 0 0
"207" "laughter" 30 99.9 630 3.94126984126984 20 30 0 37 2 47 0 53 42 3 6 62 7 25 0 60 21 42 5 18 0 33 56 10 6 9 10 3 3 8 48 0 3 0 8 1 0 0 0 0 0 0 0
"208" "children" 48 94.7083333333333 942 4.04033970276009 43 47 0 39 12 89 3 87 46 2 17 125 20 50 6 79 29 34 6 33 0 49 37 12 10 15 32 1 0 13 49 2 1 0 0 1 0 0 2 0 0 0 0
"209" "cousin" 27 102.703703703704 601 3.77703826955075 12 28 0 25 7 49 2 68 32 1 4 69 3 24 2 70 15 43 5 13 0 14 66 12 8 4 6 4 5 6 34 1 1 1 1 0 0 0 0 0 0 0 0
"210" "began" 70 63.2714285714286 980 3.8030612244898 36 74 3 19 5 87 2 110 46 1 16 115 9 20 1 108 17 49 4 32 0 45 85 19 18 15 11 2 4 3 49 12 2 0 1 1 0 0 8 0 0 0 0
"211" "make" 58 70.5344827586207 904 3.76659292035398 21 59 0 20 5 70 3 78 59 2 17 109 4 34 1 106 16 48 4 26 0 60 27 26 5 41 31 2 13 7 62 4 1 1 1 0 1 1 1 0 0 0 0
"212" "laugh" 14 180 541 3.7818853974122 3 14 0 29 2 49 0 42 21 1 11 81 5 10 4 61 19 42 2 7 1 22 47 17 6 16 6 0 0 3 24 7 2 1 1 0 0 0 9 0 0 0 0
"213" "drink" 15 111.2 349 3.98280802292264 17 17 0 12 3 31 1 31 44 2 4 50 2 13 1 27 8 18 2 4 0 16 1 9 2 9 17 0 0 4 46 1 0 0 0 1 0 0 2 0 0 0 0
"214" "start" 18 128.444444444444 501 3.69660678642715 15 19 2 29 2 24 0 53 22 1 7 42 3 7 2 81 14 33 6 11 2 22 65 20 3 5 4 2 2 2 23 0 0 0 0 0 0 0 0 1 0 0 0
"215" "famili" 25 128.8 635 4.22047244094488 14 25 0 27 6 61 0 92 47 0 1 110 6 26 6 33 25 43 1 8 0 10 33 13 12 11 11 2 3 4 48 0 1 0 1 2 0 0 0 1 0 0 0
"216" "laugh" 25 148.32 792 3.83080808080808 21 27 0 38 5 57 0 81 34 10 23 88 4 23 0 91 29 71 6 24 0 66 13 13 0 34 20 3 2 1 45 1 1 3 1 0 0 0 1 1 0 0 0
"217" "dad" 26 92.2692307692308 457 4.44201312910285 5 26 0 18 3 46 2 53 19 1 3 64 8 3 1 47 2 31 1 8 1 13 67 18 4 2 1 0 0 5 20 3 0 0 0 0 0 0 2 0 0 0 0
"218" "make" 32 100.53125 653 4.13782542113323 30 33 5 17 6 58 3 64 40 3 28 84 1 23 0 51 7 50 1 14 0 44 10 22 6 27 6 2 3 6 47 0 4 3 1 1 0 0 0 0 0 0 0
"219" "laugh" 53 80.2075471698113 936 3.76068376068376 25 54 0 35 10 83 2 101 69 1 13 120 7 31 1 104 23 49 4 21 0 30 75 22 13 14 8 3 4 7 72 4 2 0 0 0 0 0 1 0 0 0 0
"220" "thing" 40 77.175 700 3.64714285714286 24 40 2 26 3 40 2 64 44 1 15 62 3 29 2 80 7 47 7 23 0 42 47 14 12 18 14 5 2 8 55 1 10 0 0 1 2 2 1 0 0 0 0
"221" "laugh" 44 102.295454545455 948 3.95464135021097 51 45 1 15 12 74 2 101 64 5 21 103 13 39 1 84 28 59 8 18 0 47 38 17 16 27 30 5 3 12 70 0 1 1 3 0 2 2 0 0 0 0 0
"222" "laugh" 35 88.2 656 3.95731707317073 44 36 0 27 4 47 4 77 33 3 7 90 5 28 0 53 10 35 3 19 0 31 24 10 6 14 25 6 1 2 40 2 4 0 5 0 0 0 1 0 0 0 0
"223" "time" 14 62.5714285714286 197 3.68020304568528 4 14 0 11 4 13 1 10 4 0 9 20 0 8 0 23 4 12 4 4 0 16 18 7 1 0 0 2 1 1 8 0 4 1 1 0 0 0 0 0 0 0 0
"224" "laugh" 38 81.5 689 3.73875181422351 38 38 2 29 3 54 0 57 26 3 11 97 7 15 0 80 15 37 3 20 1 29 42 17 10 12 25 0 1 12 30 3 1 0 0 0 0 0 0 0 1 0 0
"225" "laughter" 34 95.4705882352941 701 3.79885877318117 12 35 1 19 9 70 1 81 24 3 4 90 11 30 1 56 25 36 10 23 0 34 12 23 6 23 30 8 4 15 27 1 0 0 0 1 1 1 0 0 1 0 0
"226" "dad" 18 78.3888888888889 300 3.90666666666667 4 18 0 18 4 33 1 30 20 2 5 43 9 10 1 25 0 13 3 8 0 11 28 5 2 0 3 1 1 1 22 1 0 0 0 0 0 0 0 0 0 0 0
"227" "laughter" 61 71.4098360655738 943 3.84941675503712 24 62 0 44 6 71 2 86 48 1 17 121 6 30 1 96 24 85 1 21 0 51 29 29 6 33 30 3 6 1 51 1 2 1 2 2 0 0 1 0 0 0 0
"228" "friend" 37 65.6486486486486 551 3.6551724137931 18 37 1 24 1 45 0 50 31 1 9 53 2 20 0 72 10 26 0 15 2 32 56 12 8 7 1 0 6 5 32 2 0 1 0 0 0 1 3 0 0 0 0
"229" "pictur" 27 118.333333333333 677 3.90841949778434 13 31 0 28 8 51 0 67 31 0 11 85 6 27 3 58 31 28 5 30 0 37 53 27 10 4 9 5 4 3 31 8 0 0 1 0 0 0 3 0 0 0 0
"230" "laugh" 11 151.818181818182 338 4.1094674556213 13 11 0 13 5 23 0 35 18 2 8 30 4 19 0 37 4 21 2 13 0 20 17 6 7 6 11 1 1 6 22 0 2 0 2 0 0 0 1 0 0 0 0
"231" "peopl" 33 66.8484848484848 493 3.75659229208925 29 33 0 20 5 45 0 46 25 3 11 56 6 32 1 39 0 36 0 7 0 26 19 10 7 13 10 1 2 5 30 0 2 1 2 1 0 0 0 0 0 0 0
"232" "laughter" 36 108.25 837 3.85185185185185 30 37 3 22 9 66 0 85 38 4 23 92 10 33 1 103 18 57 4 21 0 39 54 11 6 19 13 0 9 13 48 5 6 1 1 0 0 1 3 0 0 0 0
"233" "hous" 39 91.6923076923077 782 3.74168797953964 9 38 0 33 5 70 3 78 30 5 4 97 14 23 2 86 16 49 6 31 0 29 79 34 7 9 7 3 3 5 37 1 2 0 2 0 0 0 0 2 0 0 0
"234" "time" 32 97.5 694 3.65129682997118 6 30 0 28 3 69 0 82 28 1 3 90 4 20 3 71 24 48 12 22 0 35 60 23 11 6 1 3 0 10 30 0 1 0 0 0 0 0 0 0 0 0 0
"235" "laugh" 37 119.756756756757 922 3.99566160520607 51 38 0 37 10 56 2 109 51 2 15 108 15 26 2 66 18 61 9 31 0 46 41 32 16 23 27 5 2 18 56 0 3 0 1 0 0 0 0 1 0 0 0
"236" "laugh" 36 87.8055555555556 718 3.58635097493036 9 36 0 38 7 65 5 90 19 1 10 87 7 18 3 81 19 56 5 14 0 33 77 11 7 1 8 1 4 3 21 0 1 0 2 0 0 0 0 0 0 0 0
"237" "mom" 8 352.5 587 3.89437819420784 1 10 0 26 3 46 1 71 35 2 11 84 5 16 0 48 2 51 4 27 0 51 11 12 5 19 17 1 1 7 43 0 6 0 2 0 0 0 1 11 0 0 0
"238" "laugh" 8 137.375 242 3.66115702479339 0 8 0 12 0 10 0 31 7 1 9 21 0 6 1 38 4 20 2 9 0 22 2 5 3 12 12 1 4 2 8 0 0 0 0 0 0 0 0 0 0 0 0
"239" "friend" 23 72.9565217391304 390 3.55641025641026 21 24 0 16 2 20 0 46 16 0 2 37 3 13 0 54 11 24 3 6 0 13 44 11 3 6 3 1 1 2 17 3 1 0 1 0 0 0 2 1 0 0 0
"240" "peopl" 38 90.3947368421053 722 3.9792243767313 36 38 0 29 15 59 3 77 55 0 12 73 8 36 2 44 11 52 7 21 0 39 47 15 12 9 11 0 4 2 58 1 3 0 1 0 0 0 0 0 0 0 0
"241" "camp" 18 109.444444444444 398 4.10301507537688 5 21 0 20 7 31 0 54 21 2 4 56 3 26 1 28 13 15 5 12 0 15 29 17 5 3 1 0 1 1 23 0 0 0 0 0 0 0 0 2 0 0 0
